"Index URL



",Document URL,Document date,Document title,Document type,Document Keywords,,
http://www.justice.gov/atr/cases/alcan0.htm,http://www.justice.gov/atr/cases/f203800/203829.htm,5/26/2004,[Proposed] Amended Final Judgment,Orders - Miscellaneous,antitrust,,
http://www.justice.gov/atr/cases/alcan0.htm,http://www.justice.gov/atr/cases/f203800/203828.htm,5/26/2004,Notice of Filing of Amended Final Judgment and Amended Hold Separate Stipulation and Order,Hold Separate Stipulations and Orders,antitrust,,
http://www.justice.gov/atr/cases/alcan0.htm,http://www.justice.gov/atr/cases/f203300/203379.htm,4/22/2004,"Order Sealing Transcript of April 22, 2004 Status Conference Until June 2, 2004",Orders - Miscellaneous,antitrust,,
http://www.justice.gov/atr/cases/alcan0.htm,http://www.justice.gov/atr/cases/f203300/203378.htm,4/22/2004,Stipulated Order Regarding the Court's Consideration of the Proposed Final Judgment and the State of West Virginia's Pending Motion to Intervene or to Appear as an Amicus Curiae and for an Evidentiary Hearing,Stipulations - Miscellaneous,antitrust,,
http://www.justice.gov/atr/cases/alcan0.htm,http://www.justice.gov/atr/cases/f203300/203319.htm,4/15/2004,Stipulated Order Regarding the Court's Consideration of the Proposed Final Judgment and the State of West Virginia's Pending Motion to Intervene or to Appear as an Amicus Curiae and for an Evidentiary Hearing,Orders - Miscellaneous,antitrust,,
http://www.justice.gov/atr/cases/alcan0.htm,http://www.justice.gov/atr/cases/f203300/203318.htm,4/15/2004,"Status of the United States's Compliance with the Antitrust Procedures and Penalties Act, 15 U.S.C. §§  16(b)-(h)",Certificates of Compliance with APPA,antitrust,,
http://www.justice.gov/atr/cases/alcan0.htm,http://www.justice.gov/atr/cases/f203100/203109.htm,3/31/2004,Notice Regarding Extension of Time to Complete Divestiture,Motions and Memoranda - Miscellaneous,antitrust,,
http://www.justice.gov/atr/cases/alcan0.htm,http://www.justice.gov/atr/cases/f202800/202846.htm,3/15/2004,"Notice of Filing of the United States's Certificate of Compliance with the Antitrust Procedures and Penalties Act, 15 U.S.C. §§ 16(b)-(h)",Motions and Memoranda - Miscellaneous,antitrust,,
http://www.justice.gov/atr/cases/alcan0.htm,http://www.justice.gov/atr/cases/f202800/202843.htm,3/15/2004,Memorandum of the United States in Opposition to West Virginia's Motion to Intervene Pursuant to Rule 24(A) or for Leave to Appear as Amicus Curiae,Motions and Memoranda - Miscellaneous,antitrust,,
http://www.justice.gov/atr/cases/alcan0.htm,http://www.justice.gov/atr/cases/f202800/202857.htm,3/15/2004,Defendants' Description and Certification of Written or Oral Communications Concerning the Proposed Judgment in This Action,Motions and Memoranda - Miscellaneous,antitrust,,
http://www.justice.gov/atr/cases/alcan0.htm,http://www.justice.gov/atr/cases/f202800/202847.htm,3/15/2004,United State's Certificate of Compliance with the Antitrust Procedure and Penalties Act,Certificates of Compliance with APPA,antitrust,,
http://www.justice.gov/atr/cases/alcan0.htm,http://www.justice.gov/atr/cases/f201400/201463.htm,11/14/2003,Competitive Impact Statement,Competitive Impact Statement,antitrust,,
http://www.justice.gov/atr/cases/alcan0.htm,http://www.justice.gov/atr/cases/f201300/201305.htm,9/29/2003,[Proposed] Final Judgment,Final Judgments + Proposed Final Judgments,antitrust,,
http://www.justice.gov/atr/cases/alcan0.htm,http://www.justice.gov/atr/cases/f201300/201304.htm,9/29/2003,Hold Separate Stipulation and Order,Hold Separate Stipulations and Orders,antitrust,,
http://www.justice.gov/atr/cases/alcan0.htm,http://www.justice.gov/atr/cases/f201300/201306.htm,9/29/2003,United States's Explanation of Consent Decree Procedures,Motions and Memoranda - Miscellaneous,antitrust,,
http://www.justice.gov/atr/cases/alcan0.htm,http://www.justice.gov/atr/cases/f201300/201307.htm,9/29/2003,Certificate of Service,Final Judgments + Proposed Final Judgments,antitrust,,
http://www.justice.gov/atr/cases/alcan0.htm,http://www.justice.gov/atr/cases/f201300/201303.htm,9/29/2003,Complaint,Complaints,antitrust,,
http://www.justice.gov/atr/cases/indx195.htm,http://www.justice.gov/atr/cases/f304500/304501.pdf,6/30/2000,Final Judgment,Final Judgments + Proposed Final Judgments,antitrust,,
http://www.justice.gov/atr/cases/indx195.htm,http://www.justice.gov/atr/cases/f4500/4596.htm,4/13/2000,United States' Certificate of Compliance with the Provisions of the Antitrust Procedures And Penalties Act,Certificates of Compliance with APPA,antitrust,,
http://www.justice.gov/atr/cases/indx195.htm,http://www.justice.gov/atr/cases/f4500/4592.htm,4/13/2000,Plaintiff's Motion For Entry Of Final Judgment,Motions and Memoranda - Miscellaneous,antitrust,,
http://www.justice.gov/atr/cases/indx195.htm,http://www.justice.gov/atr/cases/f3900/3964.htm,12/6/1999,Competitive Impact Statement,Competitive Impact Statement,antitrust,,
http://www.justice.gov/atr/cases/indx195.htm,http://www.justice.gov/atr/cases/f3800/3847.htm,11/5/1999,[Proposed] Final Judgment,Final Judgments + Proposed Final Judgments,antitrust,,
http://www.justice.gov/atr/cases/indx195.htm,http://www.justice.gov/atr/cases/f3800/3846.htm,11/5/1999,Stipulation and Order,Stipulations - Miscellaneous,antitrust,,
http://www.justice.gov/atr/cases/indx195.htm,http://www.justice.gov/atr/cases/f3800/3845.htm,11/5/1999,Hold Separate Stipulation and Order,Hold Separate Stipulations and Orders,antitrust,,
http://www.justice.gov/atr/cases/indx195.htm,http://www.justice.gov/atr/cases/f3800/3844.htm,11/5/1999,Complaint,Complaints,antitrust,,
http://www.justice.gov/atr/cases/indx157a.htm,http://www.justice.gov/atr/cases/f305100/305144.pdf,7/10/2001,Order Entering Final Judgment and Memorandum Opinion ,Orders - Miscellaneous,antitrust,,
http://www.justice.gov/atr/cases/indx157a.htm,http://www.justice.gov/atr/cases/f7900/7957.htm,4/10/2001,Plaintiff's Motion For Entry Of Final Judgment,Motions and Memoranda - Miscellaneous,antitrust,,
http://www.justice.gov/atr/cases/indx157a.htm,http://www.justice.gov/atr/cases/f7900/7956.htm,4/10/2001,United States' Certificate Of Compliance With The Provisions Of The AntitrustProcedures And Penalties Act,Certificates of Compliance with APPA,antitrust,,
http://www.justice.gov/atr/cases/indx157a.htm,http://www.justice.gov/atr/cases/f7200/7297.htm,1/16/2001,United States' Response To Public Comments,Responses to Public Comments,antitrust,,
http://www.justice.gov/atr/cases/indx157a.htm,http://www.justice.gov/atr/cases/f4900/4922.htm,6/6/2000,Competitive Impact Statement,Competitive Impact Statement,antitrust,,
http://www.justice.gov/atr/cases/indx157a.htm,http://www.justice.gov/atr/cases/f4600/4661.htm,5/3/2000,[Proposed] Final Judgment,Final Judgments + Proposed Final Judgments,antitrust,,
http://www.justice.gov/atr/cases/indx157a.htm,http://www.justice.gov/atr/cases/f4600/4659.htm,5/3/2000,Hold Separate Stipulation And Order,Hold Separate Stipulations and Orders,antitrust,,
http://www.justice.gov/atr/cases/indx157a.htm,http://www.justice.gov/atr/cases/f4600/4663.htm,5/3/2000,Complaint,Complaints,antitrust,,
http://www.justice.gov/atr/cases/alexbr0.htm,http://www.justice.gov/atr/cases/f242100/242199.pdf,8/6/1998,"Opinion August 6, 1998",Orders - Miscellaneous,antitrust,,
http://www.justice.gov/atr/cases/alexbr0.htm,http://www.justice.gov/atr/cases/f242200/242202.htm,11/26/1996,Opinion Number 7763,Motions and Memoranda - Miscellaneous,antitrust,,
http://www.justice.gov/atr/cases/alexbr0.htm,http://www.justice.gov/atr/cases/f0900/0917.htm,10/2/1996,Memorandum in Opposition to Motion of Plaintiffs in the In re Nasdaq Market-Makers Antitrust Litigation To Intervene or To Appear as Amicus Curiae,Motions and Memoranda - Miscellaneous,antitrust,,
http://www.justice.gov/atr/cases/alexbr0.htm,http://www.justice.gov/atr/cases/f0700/0739.htm,7/17/1996,Competitive Impact Statement,Competitive Impact Statement,antitrust,,
http://www.justice.gov/atr/cases/alexbr0.htm,http://www.justice.gov/atr/cases/f0700/0741.htm,7/17/1996,Stipulation and Order,Stipulations - Miscellaneous,antitrust,,
http://www.justice.gov/atr/cases/alexbr0.htm,http://www.justice.gov/atr/cases/f0700/0740.htm,7/17/1996,Complaint in US v. Nasdaq Market Makers,Complaints,antitrust,,
http://www.justice.gov/atr/cases/dir1.htm,http://www.justice.gov/atr/cases/f1200/1215.htm,9/29/1997, Brief for the Appellee United States of America,Appellate Briefs - DOJ / ATR,antitrust,,
http://www.justice.gov/atr/cases/allen.html,http://www.justice.gov/atr/cases/f309500/309560.pdf,10/16/2014,Superseding Indictment,Indictments,antitrust,,
